a	于
abuso	虐
ade	幫
adere	膠
aeji	盾
aero	氣
afa	後
afoga	溺
agila	鹰
aje	齡
ajenda	計
ake	斧
akonto	賬
akuse	告
akuta	利
ale	全
alien	夷
alio	蒜
amidala	杏
amigo	友
amo	愛
amuse	娛
an	與
ani	任
anima	靈
animale	畜
anjo	仙
ankora	仍
ano	年
ansio	慮
ante	前
anti	反
antika	老
anunsi	宣
apara	顯
apojo	助
ara	蜂
arana	蛛
arapan	希
area	區
aro	矢
aroma	味
aseta	受
asido	酸
asilu	庇
atira	引
ato	行
atomo	粒
ave	有
avion	鳶
aviso	警
ba	八
bagaje	曳
bai	灣
bajo	低
baka	背
balansa	衡
balena	鯨
balo	球
balon	輪
balu	熊
banana	蕉
banda	條
bandera	旗
banka	莊
bano	浴
baraje	壩
bari	重
basara	市
base	基
basilo	菌
bata	攻
batisa	浸
baton	棍
bebe	寶
begin	始
bela	美
beli	腹
benda	彎
bene	益
bensin	燃
beri	莓
beso	吻
besonde	特
bete	獸
beton	砼
bianka	白
bibe	飲
biju	珠
bike	騎
biko	転
bileta	票
bira	醪
bisi	忙
bisinesa	業
bitume	焦
boba	泡
bodi	體
bogen	弓
boka	口
bola	碗
boli	璃
bomba	爆
bon	善
bore	閒
boroda	鬚
botega	店
botelo	瓶
boton	鈕
bovi	牛
buku	書
bulu	藍
buo	浮
butero	肥
da	彼
dalili	證
danja	危
danke	謝
dansa	舞
dare	勇
de	从
debate	辯
debe	應
debile	弱
defende	衛
degu	厭
deja	已
dekora	飾
deluje	洪
demo	示
demon	魔
den	然
denta	牙
deo	神
dereko	義
deside	決
desini	設
detali	詳
deteki	尋
develo	興
di	此
dia	日
diamante	鑽
difuse	散
dijesi	化
diji	指
dika	胖
dimenti	忘
dinosoro	虺
dipa	深
dire	說
direto	向
disipa	費
dive	潛
divi	割
dogi	狗
domo	屋
dona	予
doragon	龍
dua	求
dubi	疑
duka	痛
dulo	僕
duo	二
duro	難
dusa	淋
e	乃
edu	教
efeto	效
egala	等
ego	自
eki	外
eko	回
ekonomi	儉
elasi	彈
elefante	象
eleki	電
eleti	擇
elika	旋
emo	情
en	在
enejia	精
enemi	敵
enigema	謎
enkonte	會
entero	腸
envi	妒
environ	境
epigo	急
erase	消
ereki	站
ero	誤
esamin	驗
esato	准
ese	東
esi	存
esita	激
etudi	學
eve	夜
evento	事
evita	避
fama	譽
fami	家
famine	飢
fantome	鬼
fara	遠
farina	粉
fase	面
fasile	易
fata	運
fatiga	疲
fatoria	坊
fava	豆
favo	喜
fekun	沃
feme	女
fen	澤
fense	籬
feo	醜
feri	妖
fero	鐵
feruta	果
fete	慶
fevere	燥
fiba	繩
fide	忠
figado	肝
figura	形
filete	膾
fili	子
filoso	哲
fini	終
fiore	花
fisika	理
fisu	罅
fo	四
fobo	懼
fogo	火
foli	葉
foma	沫
fon	扟
fonte	泉
fore	進
foreta	森
fosi	掘
fuji	逃
fule	滿
fume	煙
fungi	黴
fura	孔
furi	怒
fusi	熔
gaden	園
gadi	草
gama	克
gana	贏
gape	囧
garaje	庫
gare	驛
gato	貓
geko	蜥
gen	再
gene	爻
gera	戰
giga	吉
gitara	琶
go	往
goma	橡
gomba	菇
gota	滴
gove	衙
gule	喉
gun	銃
i	兮
ia	聽
idea	念
igi	木
ila	島
imaje	相
imperi	令
impotan	要
induseri	工
infero	獄
infiniti	極
info	訊
inja	傷
inseto	蟲
inta	間
inteli	聰
interesa	趣
inventi	創
inveti	資
invite	邀
iritate	煩
ironi	諷
ise	冰
ja	是
jage	探
jaketa	袍
jalan	道
janji	誓
jara	罐
jari	植
jeli	膏
jemelo	雙
jenti	敬
jeo	牢
jeritan	喊
jeti	擲
jin	金
jira	轉
joke	謔
joli	樂
jue	頰
jumpa	跳
junta	群
jura	法
jusa	剛
jusi	汁
ka	以
kabinete	櫃
kabon	碳
kabuma	炸
kada	各
kadena	鐐
kadi	卡
kafe	咖
kaja	盒
kaje	籠
kaka	糞
kakao	巧
kalenda	曆
kali	黑
kalite	質
kalori	熱
kama	床
kambio	貿
kamera	室
kamina	走
kamisa	衫
kampo	郊
kan	可
kanali	渠
kanda	肩
kandela	燭
kanela	桂
kanon	炮
kansera	蟹
kanti	歌
kapa	捕
kapo	頭
kare	場
karera	賽
karo	車
kasa	房
kasele	堡
kasi	約
kata	切
katana	劍
kavalo	馬
kave	洞
ke	何
keju	酪
keki	糕
kelabu	灰
kemi	丹
kera	刺
kerami	瓷
keredo	信
kerusa	交
kia	鑰
kilo	千
kinde	童
kino	戲
kipa	保
kirikiti	蝗
kite	退
koda	尾
kode	碼
koleki	集
kolenka	膝
kolidi	撞
kolina	丘
kolo	色
koloni	殖
kolun	柱
koma	逗
komedi	嬉
kompare	陪
komputa	旦
komun	聚
kon	随
kona	角
konditi	態
konfi	爽
konfuse	迷
konka	殼
kono	錐
konsiense	意
kopa	杯
kopen	買
kopere	銅
kore	心
koredora	廊
koreo	郵
kosa	物
kosina	廚
kote	價
koton	棉
kova	覆
kubita	肘
kubo	塊
kujara	勺
kula	冷
kulutura	藝
kuneli	兔
kuretina	簾
kuri	跑
kusin	姊
kuve	桶
labi	唇
labora	勞
lada	梯
lado	邊
lagima	淚
lago	湖
laji	廢
lakoni	短
lampa	燈
lan	域
lana	綿
lase	讓
lasi	惰
lati	寬
lava	洗
leje	讀
lense	鏡
lenta	慢
leon	虎
leva	升
levi	左
liabili	責
libera	逍
lida	領
liga	結
liki	液
lila	紫
limako	蝸
limi	限
limon	柑
limpe	弛
lin	閃
line	線
linga	話
lipo	脂
lisa	狐
lita	斗
litera	文
litora	灘
loji	律
loka	鎖
loke	地
loko	瘋
longo	長
lose	敗
lubi	滑
ludi	玩
lujo	華
luki	幸
lulu	珍
luna	陰
lunge	肺
lupo	狼
luse	光
ma	更
madu	蜜
mageneti	磁
maisa	黍
maji	巫
make	造
makina	械
mala	壞
maladi	病
maleta	錘
man	人
mandiba	頜
manja	食
manka	斑
mano	手
mapa	圖
mare	海
mari	婚
maron	棕
masa	量
masala	香
matemati	算
maten	晨
materi	料
matura	熟
mebi	能
medi	均
media	媒
medika	藥
mega	巨
melanje	混
melankoli	悲
melon	瓜
memba	員
memo	憶
menase	脅
meno	寡
menta	智
mentira	謊
menu	錄
merite	值
mesa	桌
mesaje	箋
mesura	尺
metali	鑫
metodo	技
mi	我
midori	綠
milita	軍
mime	仿
mimi	耳
mina	礦
mini	微
Mini	汉字
Mini Mundo Name Seri v 1.8	
minute	分
mira	視
misi	缺
mita	米
mobili	案
moda	式
mogi	蠅
moloko	奶
momen	瞬
monato	月
mone	幣
monki	猿
monte	山
morale	德
more	慣
mori	死
moto	機
move	移
